Butanenitrile,2-Butanol
288.15,nan
x2,PkP,y2,gamma1,gamma2,GEJ
0.0000,1.527,0.0000,1.0000,3.9028,0
0.0589,1.657,0.1301,1.0052,3.2814,179
0.0842,1.713,0.1682,1.0104,3.0682,249
0.1255,1.745,0.2224,1.0225,2.7725,353
0.2206,1.827,0.3056,1.0661,2.2682,552
0.2500,1.835,0.3265,1.0841,2.1480,603
0.3618,1.861,0.3879,1.1750,1.7888,751
0.3944,1.872,0.4009,1.2095,1.7057,781
0.4459,1.853,0.4264,1.2734,1.5888,815
0.4685,1.879,0.4291,1.3057,1.5423,826
0.5696,1.857,0.4662,1.4931,1.3626,836
0.5702,1.867,0.4640,1.4944,1.3617,835
0.6284,1.824,0.4905,1.6469,1.2762,811
0.6964,1.792,0.5161,1.8882,1.1905,753
0.7108,1.797,0.5180,1.9509,1.1742,737
0.7803,1.721,0.5587,2.3324,1.1050,632
0.7929,1.765,0.5482,2.4190,1.0941,609
0.8215,1.681,0.5839,2.6414,1.0714,551
0.8498,1.656,0.6019,2.9032,1.0517,486
0.9038,1.571,0.6560,3.5569,1.0222,340
0.9312,1.463,0.7182,3.9925,1.0117,254
1.0000,1.115,1.0000,5.5645,1.0000,0